time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20231106:2030,0.0,0.0,0.0,0.0,16.98,2.0,0.0
20231106:2130,0.0,0.0,0.0,0.0,16.62,1.66,0.0
20231106:2230,0.0,0.0,0.0,0.0,17.68,1.03,0.0
20231106:2330,0.0,0.0,0.0,0.0,18.38,0.41,0.0
20231107:0030,0.0,0.0,0.0,0.0,18.27,0.34,0.0
20231107:0130,0.0,7.4,2.08,3.86,18.1,0.55,0.0
20231107:0230,0.0,24.12,6.77,15.81,17.71,0.9,0.0
20231107:0330,0.0,32.95,9.26,26.73,21.52,0.9,0.0
20231107:0430,131.86,57.42,56.49,35.97,25.2,1.59,0.0
20231107:0530,289.85,77.23,66.95,42.52,27.48,2.0,0.0
20231107:0630,434.76,95.4,70.48,45.17,28.95,2.0,0.0
20231107:0730,550.8,110.11,67.47,43.24,29.7,1.31,0.0
20231107:0830,616.92,120.8,57.95,37.24,30.39,1.1,0.0
20231107:0930,608.33,126.62,42.84,28.35,30.67,1.17,0.0
20231107:1030,435.48,120.26,22.82,17.64,30.59,1.38,0.0
20231107:1130,283.79,68.15,6.03,5.83,29.78,1.17,0.0
20231107:1230,0.0,0.0,0.0,0.0,28.18,1.52,0.0
20231107:1330,0.0,0.0,0.0,0.0,26.08,1.66,0.0
20231107:1430,0.0,0.0,0.0,0.0,24.3,1.66,0.0
20231107:1530,0.0,0.0,0.0,0.0,22.61,1.52,0.0
20231107:1630,0.0,0.0,0.0,0.0,21.33,1.38,0.0
20231107:1730,0.0,0.0,0.0,0.0,20.12,1.66,0.0
20231107:1830,0.0,0.0,0.0,0.0,19.42,2.0,0.0
20231107:1930,0.0,0.0,0.0,0.0,18.83,1.66,0.0
20231107:2030,0.0,0.0,0.0,0.0,18.16,1.66,0.0
20231107:2130,0.0,0.0,0.0,0.0,17.53,1.86,0.0
20231107:2230,0.0,0.0,0.0,0.0,17.09,1.93,0.0
20231107:2330,0.0,0.0,0.0,0.0,16.8,2.07,0.0
20231108:0030,0.0,0.0,0.0,0.0,16.49,2.0,0.0
20231108:0130,0.0,7.23,2.03,3.69,16.09,1.79,0.0
20231108:0230,0.0,24.08,6.77,15.61,17.03,1.1,0.0
20231108:0330,0.0,32.88,9.23,26.5,21.23,0.41,0.0
20231108:0430,135.18,57.52,56.49,35.72,24.85,0.21,0.0
20231108:0530,294.54,77.28,67.05,42.24,27.31,0.21,0.0
20231108:0630,438.09,95.45,70.28,44.87,28.89,0.83,0.0
20231108:0730,554.67,110.18,67.31,42.96,29.74,1.59,0.0
20231108:0830,426.12,108.25,43.65,37.0,30.48,2.14,0.0
20231108:0930,557.92,122.74,39.92,28.15,30.34,2.14,0.0
20231108:1030,477.52,113.59,23.12,17.48,30.37,1.93,0.0
20231108:1130,270.03,65.07,5.71,5.69,29.51,1.45,0.0
20231108:1230,0.0,0.0,0.0,0.0,28.0,2.07,0.0
20231108:1330,0.0,0.0,0.0,0.0,25.9,2.41,0.0
20231108:1430,0.0,0.0,0.0,0.0,24.24,2.41,0.0
20231108:1530,0.0,0.0,0.0,0.0,23.17,2.28,0.0
20231108:1630,0.0,0.0,0.0,0.0,22.28,2.21,0.0
20231108:1730,0.0,0.0,0.0,0.0,21.35,2.21,0.0
20231108:1830,0.0,0.0,0.0,0.0,20.57,2.21,0.0
20231108:1930,0.0,0.0,0.0,0.0,19.88,1.93,0.0
20231108:2030,0.0,0.0,0.0,0.0,18.89,1.93,0.0
20231108:2130,0.0,0.0,0.0,0.0,18.11,2.07,0.0
20231108:2230,0.0,0.0,0.0,0.0,17.43,1.93,0.0
20231108:2330,0.0,0.0,0.0,0.0,16.78,1.66,0.0
20231109:0030,0.0,0.0,0.0,0.0,16.26,1.59,0.0
20231109:0130,0.0,6.89,1.94,3.51,15.92,1.86,0.0
20231109:0230,0.0,23.3,6.54,15.41,16.47,1.31,0.0
20231109:0330,0.0,32.38,9.09,26.28,21.12,0.76,0.0
20231109:0430,136.49,57.4,55.76,35.46,24.69,0.62,0.0
20231109:0530,293.37,77.53,66.08,41.95,27.37,0.55,0.0
20231109:0630,393.99,122.6,67.53,44.58,29.11,0.9,0.0
20231109:0730,429.79,168.17,62.04,42.69,29.66,1.1,0.0
20231109:0830,407.26,149.14,46.55,36.77,30.27,1.45,0.0
20231109:0930,473.48,136.49,37.16,27.96,30.33,1.86,0.0
20231109:1030,302.99,94.15,17.84,17.32,29.8,2.34,0.0
20231109:1130,247.03,60.75,5.39,5.56,28.94,1.31,0.0
20231109:1230,0.0,0.0,0.0,0.0,27.58,1.31,0.0
20231109:1330,0.0,0.0,0.0,0.0,25.74,1.72,0.0
20231109:1430,0.0,0.0,0.0,0.0,24.23,1.72,0.0
20231109:1530,0.0,0.0,0.0,0.0,23.05,1.79,0.0
20231109:1630,0.0,0.0,0.0,0.0,21.74,1.59,0.0
20231109:1730,0.0,0.0,0.0,0.0,21.27,1.31,0.0
20231109:1830,0.0,0.0,0.0,0.0,20.86,1.1,0.0
20231109:1930,0.0,0.0,0.0,0.0,19.77,1.45,0.0
20231109:2030,0.0,0.0,0.0,0.0,19.61,1.17,0.0
20231109:2130,0.0,0.0,0.0,0.0,19.52,1.03,0.0
20231109:2230,0.0,0.0,0.0,0.0,18.38,1.59,0.0
20231109:2330,0.0,0.0,0.0,0.0,17.93,1.59,0.0
20231110:0030,0.0,0.0,0.0,0.0,17.91,1.66,0.0
20231110:0130,0.0,6.43,1.8,3.34,17.94,2.0,0.0
20231110:0230,0.0,24.12,6.77,15.22,19.0,2.07,0.0
20231110:0330,0.0,37.79,10.62,26.06,22.36,2.28,0.0
20231110:0430,79.24,89.59,41.84,35.21,25.38,2.62,0.0
20231110:0530,113.43,122.45,41.43,41.68,27.06,3.38,0.0
20231110:0630,259.95,118.93,50.62,44.3,27.94,3.79,0.0
20231110:0730,308.08,131.69,47.25,42.43,26.77,3.52,0.0
20231110:0830,294.78,144.51,39.54,36.54,26.95,2.69,0.0
